مشاع؟,نوع العقار,سعر المتر,المساحة,سعر العملية,نوع العملية,القطعة,المخطط,الحي,المدينة,المنطقة,التاريخ
كامل العقار,شقة,2668.0,187.0,500000.0,صفقة,8 / 606,416 / ج / س,بريمان,جدة,منطقة مكة المكرمة,2025-08-25
كامل العقار,شقة,2281.0,243.0,554800.0,صفقة,7,335 / ج / س,المروة,جدة,منطقة مكة المكرمة,2026-02-24
كامل العقار,قطعة أرض,6667.0,600.0,4000000.0,صفقة,211,426 / ج / س,بني مالك,جدة,منطقة مكة المكرمة,2025-12-24
كامل العقار,قطعة أرض,1830.0,628.0,1150000.0,صفقة,211 / ب,269 / ب,الصالحية,جدة,منطقة مكة المكرمة,2025-07-10
كامل العقار,شقة,3259.0,83.0,270000.0,صفقة,14,3 / 339 / ع,السلامة,جدة,منطقة مكة المكرمة,2025-06-27
كامل العقار,شقة,3331.0,96.0,319000.0,صفقة,1 / 2,656 / ج / س,المنار,جدة,منطقة مكة المكرمة,2025-10-11
كامل العقار,قطعة أرض,6667.0,300.0,2000000.0,صفقة,58 / 2,438 / ب / المعدل,الشراع,جدة,منطقة مكة المكرمة,2025-08-25
كامل العقار,قطعة أرض,6476.0,525.0,3400000.0,صفقة,390,40 / ب,النعيم,جدة,منطقة مكة المكرمة,2025-08-20
كامل العقار,قطعة أرض,5485.0,529.0,2900000.0,صفقة,6,بدون,الفيصلية,جدة,منطقة مكة المكرمة,2025-06-24
كامل العقار,شقة,3884.0,139.0,540000.0,صفقة,7 / 4,628 / ج / س,الصفا,جدة,منطقة مكة المكرمة,2025-12-02
كامل العقار,شقة,3565.0,126.0,450000.0,صفقة,1 / 1,260 / ب,الريان,جدة,منطقة مكة المكرمة,2025-06-17
كامل العقار,شقة,3194.0,203.0,650000.0,صفقة,1 / 5,588 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2025-10-13
كامل العقار,شقة,3557.0,189.0,673000.0,صفقة,4 / 7,480 / ج / س / المعدل,الفيحاء,جدة,منطقة مكة المكرمة,2025-11-04
كامل العقار,قطعة أرض,3500.0,200.0,700000.0,صفقة,808 / 1,243 / ب,الياقوت,جدة,منطقة مكة المكرمة,2025-08-25
كامل العقار,شقة,3977.0,158.0,630000.0,صفقة,1 / 1,3 / 465 / ع,الصفا,جدة,منطقة مكة المكرمة,2025-12-23
كامل العقار,شقة,3281.0,178.0,585000.0,صفقة,1 / أ,337 / ج / س,المروة,جدة,منطقة مكة المكرمة,2025-08-10
كامل العقار,قطعة أرض,3031.0,160.0,484668.0,صفقة,بدون,بدون,الجامعة,جدة,منطقة مكة المكرمة,2026-02-23
كامل العقار,شقة,4102.0,169.0,695000.0,صفقة,2 / أ,399 / ب,النزهة,جدة,منطقة مكة المكرمة,2026-01-24
كامل العقار,شقة,3743.0,152.0,568380.0,صفقة,2 / 1,408 / ج / س,المروة,جدة,منطقة مكة المكرمة,2025-12-30
كامل العقار,قطعة أرض,511.0,450.0,230000.0,صفقة,391 / 1,611 / ج / س,البيان,جدة,منطقة مكة المكرمة,2025-06-23
كامل العقار,شقة,2411.0,255.0,615097.0,صفقة,6 / 6,620220020823 / س / المعدل2,بدون,جدة,منطقة مكة المكرمة,2026-01-22
كامل العقار,شقة,3010.0,133.0,400000.0,صفقة,2 / 1,3 / 471 / ع,الربوه,جدة,منطقة مكة المكرمة,2025-10-30
كامل العقار,قطعة أرض,5667.0,300.0,1700000.0,صفقة,399 / 1,188 / ب,اللؤلؤ,جدة,منطقة مكة المكرمة,2025-08-09
كامل العقار,قطعة أرض,2308.0,239.0,552573.0,صفقة,بدون,بدون,العزيزية,جدة,منطقة مكة المكرمة,2025-12-08
